"category","total_orders","items_sold","product_sales"
health_beauty,8647,9465,1233131.72
watches_gifts,5495,5859,1166176.98
bed_bath_table,9272,10953,1023434.76
sports_leisure,7530,8431,954852.55
computers_accessories,6530,7644,888724.61
furniture_decor,6307,8160,711927.69
housewares,5743,6795,615628.69
cool_stuff,3559,3718,610204.1
auto,3810,4140,578966.65
toys,3804,4030,471286.48
garden_tools,3448,4268,470495.28
baby,2809,2982,400421.84
perfumery,3086,3340,390144.65
telephony,4093,4430,309860.23
office_furniture,1254,1668,268154.31
stationery,2264,2466,223788.69
computers,177,199,218684.14
pet_shop,1688,1924,211695.64
musical_instruments,611,651,184315.74
small_appliances,609,658,182754.12
Unknown,1412,1559,175967.21
electronics,2517,2729,155043.93
fashion_bags_accessories,1820,1985,149329.39
consoles_games,1018,1089,148003.37
construction_tools_construction,736,916,142108.49
luggage_accessories,1019,1077,138701.63
home_appliances_2,227,231,107953.95
home_construction,483,596,81407.57
home_appliances,747,754,78832.48
agro_industry_and_commerce,177,206,70566.1
furniture_living_room,414,495,67350.7
home_confort,392,429,58008.45
fixed_telephony,212,255,55315.21
air_conditioning,246,289,53323.56
audio,348,362,50570.6
small_appliances_home_oven_and_coffee,72,73,46589.56
kitchen_dining_laundry_garden_furniture,241,274,45531.98
books_general_interest,496,537,45302.15
construction_tools_lights,242,301,39957.0
construction_tools_safety,159,183,38773.22
industry_commerce_and_business,232,265,38498.81
food,441,499,28731.15
market_place,274,305,27795.77
costruction_tools_garden,190,232,25096.28
art,195,197,23657.3
fashion_shoes,235,257,23001.46
drinks,287,361,21529.84
signaling_and_security,138,197,21315.05
furniture_bedroom,90,103,19051.8
books_technical,256,263,18702.23
costruction_tools_tools,97,103,15903.95
food_drink,221,269,14942.88
fashion_male_clothing,106,125,10452.33
fashion_underwear_beach,117,127,9305.95
christmas_supplies,125,150,8737.84
tablets_printing_image,79,83,7528.41
cine_photo,63,70,6674.47
music,38,38,6034.35
dvds_blu_ray,56,61,4542.59
party_supplies,38,42,4465.19
books_imported,50,57,4418.86
furniture_mattress_and_upholstery,37,37,4323.38
fashio_female_clothing,36,45,2634.94
fashion_sport,26,29,2094.52
la_cuisine,13,14,2054.99
arts_and_craftmanship,23,24,1814.01
diapers_and_hygiene,25,37,1500.79
flowers,29,33,1110.04
home_comfort_2,24,30,760.27
cds_dvds_musicals,12,14,730.0
fashion_childrens_clothes,7,7,519.95
security_and_services,2,2,283.29
