"category","reviewed_orders","avg_review_score","negative_review_rate_pct"
books_general_interest,492,4.53,6.3
food_drink,221,4.44,4.07
books_technical,255,4.43,9.41
luggage_accessories,1015,4.37,8.18
food,437,4.33,10.07
stationery,2251,4.3,10.04
pet_shop,1680,4.27,10.65
perfumery,3076,4.26,11.77
fashion_shoes,231,4.26,11.26
small_appliances,604,4.25,11.59
costruction_tools_garden,190,4.25,12.11
toys,3774,4.24,11.39
fashion_bags_accessories,1811,4.24,10.16
drinks,287,4.24,10.1
sports_leisure,7486,4.23,11.38
musical_instruments,605,4.23,11.74
health_beauty,8601,4.23,11.45
industry_commerce_and_business,230,4.22,10.43
cool_stuff,3531,4.22,11.27
computers,174,4.22,11.49
home_appliances,744,4.21,11.02
housewares,5709,4.19,11.82
garden_tools,3428,4.18,12.25
consoles_games,1009,4.18,11.1
home_appliances_2,226,4.15,12.39
construction_tools_lights,239,4.15,10.46
auto,3792,4.15,13.0
kitchen_dining_laundry_garden_furniture,239,4.13,11.3
construction_tools_construction,731,4.13,13.27
watches_gifts,5454,4.12,13.7
signaling_and_security,137,4.12,11.68
electronics,2498,4.12,13.21
air_conditioning,242,4.12,14.05
christmas_supplies,123,4.11,11.38
agro_industry_and_commerce,177,4.11,12.43
baby,2787,4.1,14.28
art,193,4.1,13.99
market_place,272,4.09,12.13
computers_accessories,6499,4.08,14.56
furniture_living_room,409,4.07,14.18
furniture_decor,6260,4.06,15.35
telephony,4069,4.05,14.13
fashion_underwear_beach,116,4.01,16.38
bed_bath_table,9177,4.0,16.03
Unknown,1402,4.0,17.55
home_construction,481,3.99,17.26
fixed_telephony,209,3.97,16.75
construction_tools_safety,158,3.97,17.09
home_confort,390,3.88,18.72
audio,345,3.84,21.74
fashion_male_clothing,105,3.82,22.86
office_furniture,1244,3.64,21.95
