"year_month","total_orders","unique_customers","product_sales","average_order_value","average_items_per_order","average_delivery_days","late_delivery_rate_pct","average_review_score","monthly_sales_growth_pct"
"2016-09",1,1,134.97,134.97,3.0,54.8,100.0,1.0,
"2016-10",265,262,40325.11,152.17,1.18,19.6,0.75,4.01,29777.09
"2016-12",1,1,10.9,10.9,1.0,4.7,0.0,5.0,-99.97
"2017-01",750,718,111798.36,149.06,1.22,12.6,2.93,4.2,1025573.03
"2017-02",1653,1630,234223.4,141.7,1.12,13.2,2.96,4.2,109.51
"2017-03",2546,2508,359198.85,141.08,1.14,13.0,4.56,4.19,53.36
"2017-04",2303,2274,340669.68,147.92,1.12,14.9,6.56,4.14,-5.16
"2017-05",3546,3479,489338.25,138.0,1.13,11.3,2.99,4.24,43.64
"2017-06",3135,3076,421923.37,134.58,1.11,12.0,3.03,4.22,-13.78
"2017-07",3872,3802,481604.52,124.38,1.14,11.6,2.79,4.26,14.15
"2017-08",4193,4114,554699.7,132.29,1.14,11.1,2.91,4.31,15.18
"2017-09",4150,4083,607399.67,146.36,1.14,11.9,4.39,4.27,9.5
"2017-10",4478,4417,648247.65,144.76,1.16,11.9,4.18,4.2,6.73
"2017-11",7289,7183,987765.37,135.51,1.16,15.2,12.4,3.99,52.37
"2017-12",5513,5450,726033.19,131.69,1.12,15.4,7.46,4.09,-26.5
"2018-01",7069,6974,924645.0,130.8,1.14,14.1,5.7,4.11,27.36
"2018-02",6555,6400,826437.13,126.08,1.15,16.9,14.13,3.88,-10.62
"2018-03",7003,6914,953356.25,136.14,1.14,16.3,18.96,3.81,15.36
"2018-04",6798,6744,973534.09,143.21,1.15,11.5,4.5,4.21,2.12
"2018-05",6749,6693,977544.69,144.84,1.16,11.4,6.56,4.24,0.41
"2018-06",6099,6061,856077.86,140.36,1.15,9.2,1.16,4.31,-12.43
"2018-07",6159,6100,867953.46,140.92,1.13,9.0,3.38,4.32,1.39
"2018-08",6351,6310,838576.64,132.04,1.12,7.7,6.19,4.31,-3.38
