"customer_state","total_orders","product_sales","average_order_value"
SP,40501,5067633.16,125.12
RJ,12350,1759651.13,142.48
MG,11354,1552481.83,136.73
RS,5345,728897.47,136.37
PR,4923,666063.51,135.3
SC,3546,507012.13,142.98
BA,3256,493584.14,151.59
DF,2080,296498.41,142.55
GO,1957,282836.7,144.53
ES,1995,268643.45,134.66
PE,1593,251889.49,158.12
CE,1279,219757.38,171.82
PA,946,174470.59,184.43
MT,886,152191.62,171.77
MA,717,117009.38,163.19
MS,701,115429.97,164.66
PB,517,112586.82,217.77
PI,476,84721.0,177.99
RN,474,82105.66,173.22
AL,397,78855.72,198.63
SE,335,56574.19,168.88
TO,274,48402.51,176.65
RO,243,45682.76,187.99
AM,145,22155.84,152.8
AC,80,15930.97,199.14
AP,67,13374.81,199.62
RR,41,7057.47,172.13
