"customer_state","delivered_orders","avg_delivery_days","late_delivery_rate_pct"
RR,41,29.4,12.2
AP,67,27.2,2.99
AM,145,26.4,2.76
AL,397,24.5,21.41
PA,946,23.8,11.21
MA,717,21.6,17.43
SE,335,21.5,15.22
CE,1279,21.3,13.76
AC,80,21.0,3.75
PB,517,20.4,10.44
PI,476,19.5,13.87
RO,243,19.4,2.88
RN,474,19.3,9.28
BA,3256,19.3,12.16
PE,1593,18.4,9.6
MT,886,18.1,5.98
TO,274,17.7,9.85
ES,1995,15.8,10.73
MS,701,15.6,9.7
GO,1957,15.6,6.54
RS,5345,15.3,6.08
RJ,12350,15.3,12.11
SC,3546,15.0,8.21
DF,2080,13.0,5.67
PR,4923,12.0,4.04
MG,11354,12.0,4.57
SP,40501,8.8,4.49
