"customer_unique_id","total_orders","historical_customer_value","average_order_value","first_purchase","last_purchase"
"0a0a92112bd4c708ca5fde585afaa872",1,13440.0,13440.0,"2017-09-29 15:24:52","2017-09-29 15:24:52"
da122df9eeddfedc1dc1f5349a1a690c,2,7388.0,3694.0,"2017-04-01 15:58:40","2017-04-01 15:58:41"
"763c8b1c9c68a0229c42c9fc6f662b93",1,7160.0,7160.0,"2018-07-15 14:49:44","2018-07-15 14:49:44"
dc4802a71eae9be1dd28f5d788ceb526,1,6735.0,6735.0,"2017-02-12 20:37:36","2017-02-12 20:37:36"
"459bef486812aa25204be022145caa62",1,6729.0,6729.0,"2018-07-25 18:10:17","2018-07-25 18:10:17"
ff4159b92c40ebe40454e3e6a7c35ed6,1,6499.0,6499.0,"2017-05-24 18:14:34","2017-05-24 18:14:34"
"4007669dec559734d6f53e029e360987",1,5934.6,5934.6,"2017-11-24 11:03:35","2017-11-24 11:03:35"
eebb5dda148d3893cdaf5b5ca3040ccb,1,4690.0,4690.0,"2017-04-18 18:50:13","2017-04-18 18:50:13"
"48e1ac109decbb87765a3eade6854098",1,4590.0,4590.0,"2018-06-22 12:23:19","2018-06-22 12:23:19"
a229eba70ec1c2abef51f04987deb7a5,1,4400.0,4400.0,"2018-05-31 22:57:07","2018-05-31 22:57:07"
edde2314c6c30e864a128ac95d6b2112,1,4399.87,4399.87,"2018-08-03 21:10:16","2018-08-03 21:10:16"
fa562ef24d41361e476e748681810e1e,1,4099.99,4099.99,"2018-03-29 10:31:29","2018-03-29 10:31:29"
c8460e4251689ba205045f3ea17884a1,4,4080.0,1020.0,"2018-08-07 09:03:02","2018-08-08 14:27:15"
ca27f3dac28fb1063faddd424c9d95fa,1,4059.0,4059.0,"2018-07-29 08:39:48","2018-07-29 08:39:48"
"011875f0176909c5cf0b14a9138bb691",1,3999.9,3999.9,"2017-03-18 20:08:04","2017-03-18 20:08:04"
edf81e1f3070b9dac83ec83dacdbb9bc,1,3999.0,3999.0,"2017-04-18 20:37:26","2017-04-18 20:37:26"
"5e713be0853d8986528d7869a0811d2b",1,3980.0,3980.0,"2017-02-04 18:54:15","2017-02-04 18:54:15"
f0767ae738c3d90e7b737d7b8b8bb4d1,1,3930.0,3930.0,"2018-05-14 15:15:30","2018-05-14 15:15:30"
"58483a1c055dfb600f57c5b867174542",1,3899.0,3899.0,"2018-06-05 12:45:17","2018-06-05 12:45:17"
"3fec1a05177762f279472253113d568a",1,3700.0,3700.0,"2018-03-21 15:06:34","2018-03-21 15:06:34"
