"product_id","category","items_sold","total_orders","unique_customers","product_sales","sales_rank","units_rank"
bb50f2e236e5eea0100680137654686c,health_beauty,194,186,186,63560.0,1,14
"6cdd53843498f92890544667809f1595",health_beauty,153,148,147,53652.3,2,23
d6160fb7873f184099d9bc95e30376af,computers,33,33,32,45949.35,3,315
d1c427060a0f73f6b889a5c7c61f2ac4,computers_accessories,332,313,312,45620.56,4,7
"99a4788cb24856965c36a24e339b6058",bed_bath_table,477,456,456,42049.66,5,3
"3dd2a17168ec895c781a9191c1e95ad7",computers_accessories,272,253,252,40782.8,6,10
"25c38557cf793876c5abdd5931f922db",baby,38,38,38,38907.32,7,259
"5f504b3a1c75b73d6151be81eb05bdc9",cool_stuff,63,63,63,37733.9,8,114
"53b36df67ebb7c41585e8d54d6772e08",watches_gifts,321,304,301,37454.63,9,8
aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,520,425,424,37104.3,10,1
e0d64dcfaa3b6db5c54ca298ae101d05,watches_gifts,193,193,192,31621.82,11,15
d285360f29ac7fd97640bf0baef03de0,watches_gifts,119,118,117,30573.91,12,42
"7a10781637204d8d10485c71a6108a2e",watches_gifts,141,140,140,30044.5,13,29
f1c7f353075ce59d8a6f3cf58f419c9c,bed_bath_table,153,149,147,29792.36,14,23
f819f0c84a64f02d3a5606ca95edd272,watches_gifts,44,44,43,28451.58,15,202
"588531f8ec37e7d5ff5b7b22ea0488f8",computers,20,19,19,28291.99,16,652
"422879e10f46682990de24d770e7f83d",garden_tools,484,352,349,26577.22,17,2
"16c4e87b98a9370a9cbc3a4658a3f45b",musical_instruments,13,13,13,25034.0,18,1176
a62e25e09e05e6faf31d90c6ec1aa3d1,watches_gifts,224,170,167,23835.0,19,12
"5a848e4ab52fd5445cdc07aab1c40e48",Unknown,190,187,187,23368.1,20,16
